true_label,window_size_ms,stride_ms,fold_seed,train_windows,test_windows,val_subjects,best_epoch,val_j,val_f1,val_acc,threshold,test_median_prob,test_pred,test_correct,signed_margin,fold,pid,window_label,train_subjects,validation_subjects_available
1,1500,750,51,15445,44,9,2,0.7999999590000009,0.8888888888888888,0.8888888888888888,0.4200000000000001,0.6025390625,1,1,0.1825390624999999,9,9,1500/750,47,9
1,1000,500,51,24558,73,9,2,0.7999999590000009,0.8888888888888888,0.8888888888888888,0.39,0.63330078125,1,1,0.2433007812499999,9,9,1000/500,47,9
1,2000,500,51,20925,56,9,2,0.7999999590000009,0.8888888888888888,0.8888888888888888,0.3,0.57421875,1,1,0.27421875,9,9,2000/500,47,9
1,2000,1000,52,10542,107,9,1,0.4999999675000006,0.6666666666666666,0.7777777777777778,0.4800000000000001,0.451904296875,0,0,-0.0280957031250001,10,10,2000/1000,47,9
1,1500,750,52,15027,159,9,8,0.7999999590000009,0.8888888888888888,0.8888888888888888,0.32,0.2509765625,0,0,-0.0690234375,10,10,1500/750,47,9
1,1000,500,52,23877,265,9,1,0.7499999612500008,0.8571428571428571,0.8888888888888888,0.37,0.322998046875,0,0,-0.047001953125,10,10,1000/500,47,9
1,2000,500,52,20343,187,9,7,0.4999999675000006,0.6666666666666666,0.7777777777777778,0.4100000000000001,0.1246337890625,0,0,-0.2853662109375001,10,10,2000/500,47,9
1,2000,1000,53,10532,150,9,4,0.9999999550000008,1.0,1.0,0.38,0.89697265625,1,1,0.5169726562499999,11,11,2000/1000,47,9
1,1500,750,53,15051,203,9,3,0.7999999590000009,0.8888888888888888,0.8888888888888888,0.31,0.8828125,1,1,0.5728125,11,11,1500/750,47,9
1,1000,500,53,23948,298,9,2,0.9999999550000008,1.0,1.0,0.39,0.8623046875,1,1,0.4723046874999999,11,11,1000/500,47,9
1,2000,500,53,20349,289,9,2,0.9999999550000008,1.0,1.0,0.34,0.8515625,1,1,0.5115624999999999,11,11,2000/500,47,9
1,2000,1000,54,10760,138,9,4,0.9999999550000008,1.0,1.0,0.31,0.38427734375,1,1,0.07427734375,12,13,2000/1000,47,9
1,1500,750,54,15364,208,9,3,0.9999999550000008,1.0,1.0,0.37,0.8349609375,1,1,0.4649609374999999,12,13,1500/750,47,9
1,1000,500,54,24417,340,9,2,0.9999999550000008,1.0,1.0,0.4000000000000001,0.8349609375,1,1,0.4349609374999999,12,13,1000/500,47,9
1,2000,500,54,20817,251,9,2,0.9999999550000008,1.0,1.0,0.3,0.84375,1,1,0.54375,12,13,2000/500,47,9
1,2000,1000,55,11211,144,9,1,0.9999999550000008,1.0,1.0,0.4900000000000001,0.546875,1,1,0.0568749999999998,13,14,2000/1000,47,9
1,1500,750,55,15949,211,9,1,0.9999999550000008,1.0,1.0,0.4900000000000001,0.63525390625,1,1,0.1452539062499998,13,14,1500/750,47,9
1,1000,500,55,25287,341,9,1,0.9999999550000008,1.0,1.0,0.4300000000000001,0.7568359375,1,1,0.3268359374999999,13,14,1000/500,47,9
1,2000,500,55,21724,269,9,1,0.9999999550000008,1.0,1.0,0.5500000000000003,0.75537109375,1,1,0.2053710937499997,13,14,2000/500,47,9
1,2000,1000,56,10593,183,9,2,0.7499999612500008,0.8571428571428571,0.8888888888888888,0.4100000000000001,0.7939453125,1,1,0.3839453124999999,14,15,2000/1000,47,9
1,1500,750,56,15143,256,9,1,0.7499999612500008,0.8571428571428571,0.8888888888888888,0.5100000000000002,0.61865234375,1,1,0.1086523437499997,14,15,1500/750,47,9
1,1000,500,56,24104,407,9,1,0.7499999612500008,0.8571428571428571,0.8888888888888888,0.39,0.74853515625,1,1,0.3585351562499999,14,15,1000/500,47,9
1,2000,500,56,20498,340,9,1,0.7499999612500008,0.8571428571428571,0.8888888888888888,0.4800000000000001,0.732421875,1,1,0.2524218749999998,14,15,2000/500,47,9
1,2000,1000,57,11018,234,9,3,0.9999999550000009,1.0,1.0,0.32,0.8544921875,1,1,0.5344921874999999,15,17,2000/1000,47,9
1,1500,750,57,15684,330,9,2,0.9999999550000009,1.0,1.0,0.4100000000000001,0.85107421875,1,1,0.4410742187499999,15,17,1500/750,47,9
1,1000,500,57,24954,508,9,1,0.9999999550000009,1.0,1.0,0.4000000000000001,0.822265625,1,1,0.4222656249999999,15,17,1000/500,47,9
1,2000,500,57,21336,446,9,2,0.7999999590000009,0.8888888888888888,0.8888888888888888,0.32,0.8828125,1,1,0.5628124999999999,15,17,2000/500,47,9
1,2000,1000,58,10284,291,9,2,0.9999999550000009,1.0,1.0,0.4200000000000001,0.572265625,1,1,0.1522656249999999,16,18,2000/1000,47,9
1,1500,750,58,14691,416,9,2,0.9999999550000009,1.0,1.0,0.4100000000000001,0.6171875,1,1,0.2071874999999999,16,18,1500/750,47,9
1,1000,500,58,23361,651,9,2,0.9999999550000009,1.0,1.0,0.38000000000000006,0.58544921875,1,1,0.20544921874999994,16,18,1000/500,47,9
1,2000,500,58,19837,572,9,1,0.9999999550000009,1.0,1.0,0.4400000000000001,0.64013671875,1,1,0.2001367187499999,16,18,2000/500,47,9
1,2000,1000,59,10560,425,9,3,0.9999999550000009,1.0,1.0,0.31,0.42138671875,1,1,0.11138671875,17,19,2000/1000,47,9
1,1500,750,59,15030,584,9,3,0.7999999590000009,0.8888888888888888,0.8888888888888888,0.3,0.578125,1,1,0.278125,17,19,1500/750,47,9
1,1000,500,59,23898,902,9,16,0.7999999590000009,0.8888888888888888,0.8888888888888888,0.3,0.77099609375,1,1,0.47099609375,17,19,1000/500,47,9
1,2000,500,59,20423,829,9,2,0.7999999590000009,0.8888888888888888,0.8888888888888888,0.3,0.48046875,1,1,0.18046875,17,19,2000/500,47,9
1,2000,1000,60,10923,377,9,3,0.7499999612500008,0.8571428571428571,0.8888888888888888,0.4400000000000001,0.5703125,1,1,0.1303124999999999,18,20,2000/1000,47,9
1,1500,750,60,15569,531,9,3,0.7499999612500008,0.8571428571428571,0.8888888888888888,0.37000000000000005,0.60986328125,1,1,0.23986328124999995,18,20,1500/750,47,9
1,1000,500,60,24744,820,9,2,0.7499999612500008,0.8571428571428571,0.8888888888888888,0.36000000000000004,0.59375,1,1,0.23374999999999996,18,20,1000/500,47,9
1,2000,500,60,21174,749,9,4,0.9999999550000009,1.0,1.0,0.3,0.65625,1,1,0.35625,18,20,2000/500,47,9
1,2000,1000,61,10824,63,9,1,0.9999999550000009,1.0,1.0,0.5100000000000002,0.501953125,0,0,-0.008046875000000231,19,21,2000/1000,47,9
1,1500,750,61,15424,97,9,1,0.9999999550000009,1.0,1.0,0.5300000000000002,0.6923828125,1,1,0.16238281249999975,19,21,1500/750,47,9
1,1000,500,61,24463,158,9,1,0.9999999550000009,1.0,1.0,0.49000000000000016,0.791015625,1,1,0.30101562499999984,19,21,1000/500,47,9
1,2000,500,61,20983,126,9,1,0.9999999550000009,1.0,1.0,0.48000000000000015,0.56689453125,1,1,0.08689453124999985,19,21,2000/500,47,9
1,2000,1000,62,11092,152,9,1,0.7499999612500008,0.8571428571428571,0.8888888888888888,0.5600000000000003,0.4853515625,0,0,-0.07464843750000028,20,22,2000/1000,47,9
1,1500,750,62,15797,216,9,1,0.7499999612500008,0.8571428571428571,0.8888888888888888,0.6000000000000003,0.42529296875,0,0,-0.1747070312500003,20,22,1500/750,47,9
1,1000,500,62,25107,342,9,1,0.7499999612500008,0.8571428571428571,0.8888888888888888,0.6600000000000004,0.361572265625,0,0,-0.29842773437500036,20,22,1000/500,47,9
1,2000,500,62,21458,303,9,7,0.7999999590000009,0.8888888888888888,0.8888888888888888,0.3,0.5078125,1,1,0.2078125,20,22,2000/500,47,9
1,2000,1000,63,10581,163,9,2,0.7999999590000009,0.8888888888888888,0.8888888888888888,0.46000000000000013,0.76708984375,1,1,0.30708984374999987,21,23,2000/1000,47,9
